sample_id,dropped_analysis_id
ERS1110331,ERR1356696
ERS1110333,ERR1356700
ERS1110335,ERR1356705
ERS1110350,ERR1356735
ERS1110352,ERR1356739
ERS1110354,ERR1356742
ERS1110330,ERR1356694
ERS1110332,ERR1356698
ERS1110351,ERR1356737
ERS1110355,ERR1356744
ERS1110357,ERR1356749
ERS1110358,ERR1356750
ERS1110329,ERR1356692
ERS1110338,ERR1356711
ERS1110339,ERR1356713
ERS1110341,ERR1356716
ERS1110359,ERR1356752
ERS1110340,ERR1356715
ERS1110342,ERR1356718
ERS1110343,ERR1356721
ERS1110344,ERR1356722
ERS1110345,ERR1356724
ERS1110347,ERR1356729
ERS1110346,ERR1356726
ERS1110348,ERR1356730
ERS1110349,ERR1356732
ERS1110363,ERR1356760
ERS1110364,ERR1356763
ERS1110334,ERR1356702
ERS1110336,ERR1356706
ERS1110353,ERR1356741
ERS1110360,ERR1356755
ERS1110361,ERR1356757
ERS1110362,ERR1356758
ERS1110337,ERR1356709
ERS1110356,ERR1356747
